Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Engineer,"Charleston, SC",,81555,95173,110130,126503,141410
Data Engineer,"Visalia, CA",,85537,99819,115506,132679,148314
Data Engineer,"Hampton, VA",,81311,94888,109801,126125,140987
Data Engineer,"Gainesville, FL",,78142,91190,105521,121209,135493
Data Engineer,"Warren, MI",,86834,101332,117258,134691,150562
Data Engineer,"Coral Springs, FL",,83398,97324,112619,129362,144606
Data Engineer,"Cedar Rapids, IA",,82170,95891,110960,127457,142477
Data Engineer,"Round Rock, TX",,84143,98193,113624,130517,145897
Data Engineer,"Sterling Heights, MI",,86559,101012,116886,134264,150086
Data Engineer,"Kent, WA",,92174,107564,124469,142974,159822
Data Engineer,"Columbia, SC",,79580,92868,107463,123439,137985
Data Engineer,"Santa Clara, CA",,107780,125776,145543,167181,186881
Data Engineer,"New Haven, CT",,93068,108608,125677,144362,161373
Data Engineer,"Stamford, CT",,98828,115329,133454,153295,171359
Data Engineer,"Concord, CA",,97463,113737,131611,151178,168993
Data Engineer,"Elizabeth, NJ",,97216,113449,131278,150796,168566
Data Engineer,"Athens, GA",,83750,97734,113093,129907,145215
Data Engineer,"Thousand Oaks, CA",,93214,108779,125874,144588,161626
Data Engineer,"Lafayette, LA",,78303,91378,105738,121459,135771
Data Engineer,"Simi Valley, CA",,93841,109510,126721,145561,162713
Data Engineer,"Topeka, KS",,79431,92693,107261,123208,137726
Data Engineer,"Norman, OK",,77936,90950,105243,120890,135135
Data Engineer,"Fargo, ND",,80573,94026,108803,124979,139707
Data Engineer,"Wilmington, NC",,79104,92313,106820,122701,137161
Data Engineer,"Abilene, TX",,77653,90619,104860,120450,134644
Data Engineer,"Odessa, TX",,76665,89466,103527,118918,132931
Data Engineer,"Columbia, MO",,83585,97541,112870,129651,144929
Data Engineer,"Pearland, TX",,87108,101653,117629,135117,151039
Data Engineer,"Victorville, CA",,91134,106350,123064,141360,158018
Data Engineer,"Hartford, CT",,92991,108518,125573,144242,161239
Data Engineer,"Vallejo, CA",,96615,112748,130467,149863,167523
Data Engineer,"Allentown, PA",,86550,101002,116875,134251,150071
Data Engineer,"Berkeley, CA",,104774,122268,141484,162518,181670
Data Engineer,"Richardson, TX",,85322,99569,115216,132346,147942
