Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Business Analyst,"Downey, CA",,75324,83322,92108,102190,111370
Business Analyst,"Lowell, MA",,73534,81342,89918,99762,108723
Business Analyst,"Elgin, IL",,69956,77385,85544,94908,103434
Business Analyst,"Richmond, CA",,82306,91046,100645,111663,121694
Business Analyst,"Peoria, IL",,65108,72021,79615,88330,96265
Business Analyst,"Broken Arrow, OK",,63996,70791,78255,86822,94621
Business Analyst,"Miami Gardens, FL",,65115,72029,79623,88340,96275
Business Analyst,"Billings, MT",,64845,71731,79294,87974,95877
Business Analyst,"Gresham, OR",,70135,77582,85762,95151,103698
Business Analyst,"Lewisville, TX",,66717,73801,81583,90513,98644
Business Analyst,"Hillsboro, OR",,70000,77433,85598,94968,103499
Business Analyst,"Ventura, CA",,72260,79933,88360,98033,106840
Business Analyst,"Greeley, CO",,66258,73294,81022,89891,97967
Business Analyst,"Inglewood, CA",,75677,83713,92539,102670,111893
Business Analyst,"Waterbury, CT",,72665,80381,88856,98583,107439
Business Analyst,"League City, TX",,68158,75395,83345,92468,100775
Business Analyst,"Santa Maria, CA",,73155,80924,89456,99249,108164
Business Analyst,"Tyler, TX",,61004,67482,74597,82763,90198
Business Analyst,"Lakewood, NJ",,75219,83207,91980,102049,111216
Business Analyst,"Daly City, CA",,84258,93205,103032,114311,124580
Business Analyst,"Boulder, CO",,69119,76458,84519,93772,102195
Business Analyst,"Allen, TX",,66968,74079,81890,90854,99016
Business Analyst,"West Covina, CA",,75165,83146,91913,101975,111135
Business Analyst,"Sparks, NV",,68040,75265,83201,92308,100601
Business Analyst,"Wichita Falls, TX",,61549,68084,75263,83502,91003
Business Analyst,"Green Bay, WI",,64663,71529,79071,87727,95608
Business Analyst,"San Mateo, CA",,83085,91908,101598,112720,122846
Business Analyst,"Norwalk, CA",,75229,83217,91991,102061,111230
Business Analyst,"Rialto, CA",,71811,79436,87811,97424,106176
Business Analyst,"Las Cruces, NM",,57295,63379,70062,77732,84714
Business Analyst,"Chico, CA",,68796,76101,84125,93334,101718
Business Analyst,"El Cajon, CA",,72527,80228,88687,98395,107234
Business Analyst,"Burbank, CA",,75677,83713,92539,102670,111893
Business Analyst,"South Bend, IN",,63557,70306,77719,86227,93973
Business Analyst,"Renton, WA",,74304,82194,90860,100807,109862
Business Analyst,"Vista, CA",,72338,80019,88456,98139,106955
Business Analyst,"Davenport, IA",,63973,70767,78228,86791,94588
Business Analyst,"Edinburg, TX",,57970,64125,70886,78646,85711
Business Analyst,"Tuscaloosa, AL",,63196,69907,77277,85737,93439
Business Analyst,"Carmel, IN",,65506,72461,80101,88870,96853
Business Analyst,"San Angelo, TX",,60410,66824,73870,81956,89319
Business Analyst,"Vacaville, CA",,75369,83372,92163,102252,111437
Business Analyst,"Clinton, MI",,69233,76585,84660,93927,102365
Business Analyst,"Bend, OR",,65594,72559,80209,88990,96984
Business Analyst,"Woodbridge, NJ",,75630,83661,92482,102606,111823
